"Name","Character","Model","ModelCNOverride","GadgetModel","PortraitCameraFile","IntroCameraFile","MirrorIntro","IdleAnim","WalkAnim","PrimarySkillAnim","SecondarySkillAnim","PrimarySkillRecoilAnim","PrimarySkillRecoilAnim2","SecondarySkillRecoilAnim","SecondarySkillRecoilAnim2","ReloadingAnim","PushbackAnim","HappyAnim","HappyLoopAnim","SadAnim","SadLoopAnim","HeroScreenIdleAnim","HeroScreenAnim","HeroScreenLoopAnim","SignatureAnim","HappyEnterAnim","SadEnterAnim","ProfileAnim","IntroAnim","BossAutoAttackAnim","BossAutoAttackRecoilAnim","BossAutoAttackRecoilAnim2","GadgetActiveAnim","GadgetRecoilAnim","IdleFace","WalkFace","HappyFace","HappyLoopFace","SadFace","SadLoopFace","HeroScreenIdleFace","HeroScreenFace","HeroScreenLoopFace","SignatureFace","ProfileFace","IntroFace","HappyEffect","SadEffect","PetInSameSprite","AttackLocksAttackAngle","UltiLocksAttackAngle","MainAttackProjectile","SecondaryProjectile","UltiProjectile","MainAttackEffect","UltiAttackEffect","UseBlueTextureInMenus","MainAttackUseEffect","UltiUseEffect","UltiEndEffect","MeleeHitEffect","SpawnEffect","UltiLoopEffect","UltiLoopEffect2","AreaEffect","AreaEffectStarPower","AreaEffectAttack","SpawnedItem","KillCelebrationSoundVO","InLeadCelebrationSoundVO","StartSoundVO","UseUltiSoundVO","TakeDamageSoundVO","DeathSoundVO","AttackSoundVO","BoneEffect1","BoneEffect2","BoneEffect3","BoneEffect4","BoneEffectUse","AutoAttackProjectile","ProjectileForShockyStarPower","IncendiaryStarPowerAreaEffect","MoveEffect","StillEffect","ChargedShotEffect","DisableHeadRotation"
"RangedBotDefault",,"rangedbot_geo.scw:head+body+Gun",,,"portrait_cam.scw","emz_intro_pose.scw",,"RangedBotIdle","RangedBotWalk","RangedBotPrimary","RangedBotSecondary","RangedBotRecoil",,"RangedBotRecoil",,"RangedBotReload","RangedBotPushback","RangedBotWin","RangedBotWinloop","RangedBotLose","RangedBotLoseloop","RangedBotIdle","RangedBotWin","RangedBotWinloop","RangedBotWin","RangedBotIdle","RangedBotIdle","RangedBotIdle","RangedBotIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MeleeFastBotDefault",,"fastmeleebot_geo.scw:robo_geo",,,"portrait_cam.scw","emz_intro_pose.scw",,"FastMeleeBotIdle","FastMeleeBotWalk","FastMeleeBotIdle","FastMeleeBotIdle","FastMeleeBotRecoil",,"FastMeleeBotRecoil",,,"FastMeleeBotPushback","FastMeleeBotWin","FastMeleeBotWinloop","FastMeleeBotLose","FastMeleeBotLoseloop","FastMeleeBotIdle","FastMeleeBotWin","FastMeleeBotWinloop","FastMeleeBotWin","FastMeleeBotIdle","FastMeleeBotIdle","FastMeleeBotIdle","FastMeleeBotIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MeleeBotDefault",,"meleebot_geo.scw:body+head",,,"portrait_cam.scw","emz_intro_pose.scw",,"MeleeBotIdle","MeleeBotWalk","MeleeBotIdle","MeleeBotIdle","MeleeBotRecoil","MeleeBotRecoil2","MeleeBotRecoil",,,"MeleeBotPushback","MeleeBotWin","MeleeBotWinloop","MeleeBotLose","MeleeBotLoseloop","MeleeBotIdle","MeleeBotWin","MeleeBotWinloop","MeleeBotWin","MeleeBotIdle","MeleeBotIdle","MeleeBotIdle","MeleeBotIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BossBotDefault",,"bossbot_geo.scw:body+head+hands",,,"portrait_cam.scw","emz_intro_pose.scw",,"BossBotIdle","BossBotWalk","BossBotIdle","BossBotIdle","BossBotIdle",,"BossBotIdle",,,"BossBotPushback","BossBotWin","BossBotWinloop","BossBotLose","BossBotLoseloop","BossBotIdle","BossBotWin","BossBotWinloop","BossBotWin","BossBotIdle","BossBotIdle","BossBotIdle","BossBotIdle","BossBotIdle","BossBotRecoil","BossBotRecoil2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryGalDefault","ArtilleryDude","mari_geo.scw",,,"penny_base_cam.scw","emz_intro_pose.scw",,"ArtilleryGalIdle","ArtilleryGalWalk","ArtilleryGalPrimary","ArtilleryGalUltiAttack","ArtilleryGalRecoil",,"ArtilleryGalUltiRecoil",,"ArtilleryGalReload","ArtilleryGalPushback","ArtilleryGalWin","ArtilleryGalWinloop","ArtilleryGalLose","ArtilleryGalLoseloop","ArtilleryGalIdle","ArtilleryGalWin","ArtilleryGalWinloop","ArtilleryGalWin","ArtilleryGalIdle","ArtilleryGalIdle","ArtilleryGalProfile","ArtilleryGalProfile",,,,,,"PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FrankDefault","HammerDude","frank_geo.scw",,,"frank_base_cam.scw","frank_intro_pose.scw",,"FrankIdle","FrankWalk","FrankPrimary","FrankSecondary","FrankRecoil",,"FrankRecoil2",,"FrankReloading","FrankPushback","FrankWin","FrankWinloop","FrankLose","FrankLoseloop","FrankIdle","FrankWin","FrankWinloop","FrankWin","FrankIdle","FrankIdle","FrankProfile","FrankIntro",,,,,,"FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle","FrankIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryTurretDefault","ArtilleryDudeTurret","turret_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryAttack",,"ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtillerySpawn","ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtillerySpawn","ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MechanicKnight","Mechanic","jessie_knight_geo.scw",,,"jessie_base_cam.scw","emz_intro_pose.scw",,"JunkerKnightIdle","JunkerKnightWalk","JunkerKnightPrimary","JunkerKnightUltiAttack","JunkerKnightRecoil",,"JunkerKnightUltiRecoil",,"JunkerKnightReload","JunkerKnightPushback","JunkerKnightBattleWin","JunkerKnightBattleWinloop","JunkerKnightLose","JunkerKnightLoseloop","JunkerKnightWinloop","JunkerKnightWin","JunkerKnightWinloop","JunkerKnightBattleWin","JunkerKnightIdle","JunkerKnightIdle","JunkerProfile","JunkerProfile",,,,,,"JunkerFace","JunkerFace","JunkerFace","JunkerFace","JunkerDreamyFace","JunkerDreamyFace","JunkerFace","JunkerFace","JunkerFace","JunkerFace","JunkerStillFace","JunkerFace",,,"true",,,"Jessie003Projectile1",,"Jessie003UltiProjectile","jessie_003_atk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FrankCaveman","HammerDude","frank_caveman_geo.scw",,,"frank_base_cam.scw","frank_intro_pose.scw",,"FrankIdle","FrankWalk","FrankPrimary","FrankSecondary","FrankRecoil",,"FrankRecoil2",,,"FrankPushback","FrankWin","FrankWinloop","FrankLose","FrankLoseloop","FrankIdle","FrankWin","FrankWinloop","FrankWin","FrankIdle","FrankIdle","FrankProfile","FrankIntro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TurretDragon","MechanicTurret","turret_dragon_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"Turret","Turret","Turret","Turret","TurretAttack",,"Turret",,"Turret","TurretIdle","TurretSpawn","TurretIdle",,"TurretIdle","TurretWinloop","TurretWin","TurretWinloop",,"TurretIdle","TurretIdle","Turret","Turret",,,,,,,,,,,,,,,,,,,,,,,,,,"jessie_003_turret_atk",,,,,,,,,,,,,,,,,,,,,,,,,,"JessieTurret003Projectile","Turret003Proj",,,,,
"MechanicSummer","Mechanic","jessie_summertime_geo.scw",,,"jessie_base_cam.scw","emz_intro_pose.scw",,"JunkerKnightIdle","JunkerKnightWalk","JunkerKnightPrimary","JunkerKnightUltiAttack","JunkerKnightRecoil",,"JunkerKnightUltiRecoil",,"JunkerKnightReload","JunkerKnightPushback","JunkerKnightBattleWin","JunkerKnightBattleWinloop","JunkerKnightLose","JunkerKnightLoseloop","JunkerKnightBattleWinloop","JunkerKnightBattleWin","JunkerKnightBattleWinloop","JunkerKnightBattleWin","JunkerKnightIdle","JunkerKnightIdle","JunkerProfile","JunkerProfile",,,,,,"JunkerFace","JunkerFace","JunkerFace","JunkerDreamyFace","JunkerDreamyFace","JunkerDreamyFace","JunkerFace","JunkerFace","JunkerDreamyFace","JunkerFace","JunkerStillFace","JunkerFace",,,,,,"Jessie002Projectile1",,"Jessie002UltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TurretSummertime","MechanicTurret","turret_summertime_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"Turret","Turret","Turret","Turret","TurretAttack",,"Turret",,"Turret","TurretIdle","TurretSpawn","TurretIdle",,"TurretIdle","Turret","TurretIdle","TurretIdle",,"TurretIdle","TurretIdle","Turret","Turret",,,,,,,,,,,,,,,,,,,,,,,"JessieTurret002Projectile",,,"jessie_002_turret_atk",,,,,,,,,,,,,,,,,,,,,,,,,,"JessieTurret002Projectile","TurretWaterProj",,,,,
"CrowPheonix","Crow","crow_pheonix_geo.scw",,,"crow_pheonix_cam.scw","emz_intro_pose.scw",,"CrowPheonixIdle","CrowPheonixWalk","CrowPheonixPrimary","CrowPheonixUltiAttack","CrowPheonixRecoil",,"CrowPheonixIdle",,"CrowPheonixReload","CrowPheonixPushback","CrowPheonixWin","CrowPheonixWinloop","CrowPheonixLose","CrowPheonixLoseloop","CrowPheonixIdle","CrowPheonixWin","CrowPheonixWinloop","CrowPheonixWin","CrowPheonixIdle","CrowPheonixIdle","CrowPheonixProfile","CrowPheonixProfile",,,,,,,,,,,,,,,,,,,,,,,"CrowProjectileFlame",,"CrowUltiProjectileFlame",,,,,,,,,,,,,,,,,,,,,,"Crow_bone_trail_1","Crow_bone_trail_2","Crow_bone_trail_3","Crow_bone_trail_4","ulti",,,,,,,
"UndertakerGreaser","Undertaker","mortis_greaser_geo.scw",,,"mortis_base_cam.scw","emz_intro_pose.scw",,"UndertakerGreaserIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerPushback","UndertakerGreaserWin","UndertakerGreaserWinloop","UndertakerGreaserLose","UndertakerGreaserLoseloop","UndertakerGreaserIdle","UndertakerGreaserWin","UndertakerGreaserWinloop","UndertakerGreaserWin","UndertakerGreaserIdle","UndertakerGreaserIdle","UndertakerProfile","UndertakerProfile",,,,,,"MortisWinloop","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisWinloop",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BigBotDefault",,"meleebot_geo.scw:body+head",,,"portrait_cam.scw","emz_intro_pose.scw",,"MeleeBotIdle","MeleeBotWalk","MeleeBotIdle","MeleeBotIdle","MeleeBotRecoil","MeleeBotRecoil2","MeleeBotRecoil",,,"MeleeBotPushback","MeleeBotWin","MeleeBotWinloop","MeleeBotLose","MeleeBotLoseloop","MeleeBotIdle","MeleeBotWin","MeleeBotWinloop","MeleeBotWin","MeleeBotIdle","MeleeBotIdle","MeleeBotIdle","MeleeBotIdle","MeleeBotIdle","MeleeBotRecoil","MeleeBotRecoil2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BanditGirlPrereg","ShotgunGirl","shelly_prereg_geo.scw",,,"shelly_base_cam.scw","emz_intro_pose.scw",,"ShellyPreregIdle","ShellyPreregWalk","ShellyPreregPrimary","ShellyPreregSecondary","ShellyPreregRecoil",,"ShellyPreregRecoil",,"ShellyPreregReload","ShellyPreregPushback","ShellyPreregWin","ShellyPreregWinloop","ShellyPreregLose","ShellyPreregLoseloop","ShellyPreregIdle","ShellyPreregWin","ShellyPreregWinloop","ShellyPreregWin","ShellyPreregIdle","ShellyPreregIdle","ShellyProfile","ShellyProfile",,,,,,"ShellyFace","ShellyFace","ShellyHappy","ShellyFace","ShellySad","ShellySadLoop","ShellyFace","ShellyHappy","ShellyFace","ShellyFace","ShellyStill","ShellyStill",,,,,,"Shelly002Projectile",,"Shelly002UltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"LootBox",,"crate_powerup.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntBox",,"crate_tnt.scw","crate_tnt_cn.scw",,"portrait_cam.scw","emz_intro_pose.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Safe",,"heist_safe.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntGuySanta","TntDude","dynamike_santa_geo.scw",,,"dynamike_base_cam.scw","emz_intro_pose.scw",,"TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguyRecoil",,"TntguyUlti",,"TntguyReload","TntguyPushback","TntguyWin","TntguyWinloop","TntguyLose","TntguyLoseloop","TntguyIdle","TntguyWin","TntguyWinloop","TntguyWin","TntguyIdle","TntguyIdle","TntguyProfile","TntguyProfile",,,,,,,,,,,,,,,,,,,,,"true","true","TntDudeSantaProjectile",,"TntDudeSantaUltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TntGuyChef","TntDude","dynamike_chef_geo.scw",,,"dynamike_base_cam.scw","emz_intro_pose.scw",,"TntguyIdle","TntguyWalk","TntguyPrimary","TntguySecondary","TntguyRecoil",,"TntguyUlti",,"TntguyReload","TntguyPushback","TntguyWin","TntguyWinloop","TntguyLose","TntguyLoseloop","TntguyIdle","TntguyWin","TntguyWinloop","TntguyWin","TntguyIdle","TntguyIdle","TntguyProfile","TntguyProfile",,,,,,,,,,,,,,,,,,,,,"true","true","TntDudeChefProjectile",,"TntDudeChefUltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlBoombox","RocketGirl","brock_boombox_geo.scw",,,"brock_base_cam.scw","emz_intro_pose.scw",,"BrockBoomboxIdle","BrockBoomboxWalk","BrockBoomboxPrimary","BrockBoomboxSecondary","BrockBoomboxRecoil",,"BrockBoomboxRecoil2",,"BrockBoomboxIdle","BrockPushback","BrockBoomboxWinIntro","BrockBoomboxWin","BrockBoomboxLose","BrockBoomboxLoseloop","BrockBoomboxIdle","BrockBoomboxWinIntro","BrockBoomboxWin","BrockBoomboxWin","BrockBoomboxIdle","BrockBoomboxIdle","BrockBoomboxProfile","BrockBoomboxProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarkeepWizard","Barkeep","barley_wizard_geo.scw",,,"barley_wizard_cam.scw","emz_intro_pose.scw",,"BarkeepWizardIdle","BarkeepWizardWalk","BarkeepWizardPrimary","BarkeepWizardSecondary","BarkeepWizardRecoil",,"BarkeepWizardRecoil",,"BarkeepWizardReload","BarkeepWizardPushback","BarkeepWizardWin","BarkeepWizardWinloop","BarkeepWizardLose","BarkeepWizardLoseloop","BarkeepWizardIdle","BarkeepWizardWin","BarkeepWizardWinloop","BarkeepWizardWin","BarkeepWizardIdle","BarkeepWizardIdle","BarkeepWizardProfile","BarkeepWizardProfile",,,,"BarkeepSecondary","BarkeepRecoil",,,,,,,,,,,,,,,,,,"Barley002Projectile",,"Barley002UltiProjectile","barkeep_wizard_attack","barkeep_wizard_attack_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanReindeer","Shaman","nita_reindeer_geo.scw",,,"nita_base_cam.scw","emz_intro_pose.scw",,"ShamanIdle","ShamanWalk","ShamanAttack","ShamanSecondary","ShamanRecoil",,"ShamanRecoil",,"ShamanReload","ShamanPushback","ShamanWin","ShamanWinloop","ShamanLose","ShamanLoseloop","ShamanIdle","ShamanWin","ShamanWinloop","ShamanWin","ShamanIdle","ShamanIdle","ShamanProfile","ShamanProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryGalElf","ArtilleryDude","penny_elf_geo.scw",,,"penny_base_cam.scw","emz_intro_pose.scw",,"ArtilleryGalIdle","ArtilleryGalWalk","ArtilleryGalPrimary","ArtilleryGalUltiAttack","ArtilleryGalRecoil",,"ArtilleryGalUltiRecoil",,"ArtilleryGalReload","ArtilleryGalPushback","ArtilleryGalWin","ArtilleryGalWinloop","ArtilleryGalLose","ArtilleryGalLoseloop","ArtilleryGalIdle","ArtilleryGalWin","ArtilleryGalWinloop","ArtilleryGalWin","ArtilleryGalIdle","ArtilleryGalIdle","ArtilleryGalProfile","ArtilleryGalProfile",,,,,,"PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace","PennyFace",,,,,,"Penny002Projectile",,"Penny002UltiProjectile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NinjaDefault","Ninja","leon_geo.scw",,,"leon_base_cam.scw","leon_intro_pose.scw",,"LeonIdle","LeonWalk","LeonAttack","LeonSecondary","LeonRecoil","LeonRecoil2","LeonRecoil",,"LeonReload","LeonPushback","LeonWin","LeonWinloop","LeonLose","LeonLoseloop","LeonIdle","LeonWin","LeonWinloop","LeonWin","LeonIdle","LeonIdle","LeonProfile","LeonIntro",,,,,,"LeonIdle","LeonIdle","LeonWin","LeonWinLoop","LeonLose","LeonLoseLoop","LeonIdle","LeonWin","LeonWinLoop","LeonWin","LeonIdle","LeonIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerHat","Undertaker","mortis_geo.scw:hatGeo+headGeo+hairGeo+cloakGeo+armsGeo+torsoGeo+capeGeo+capeGeo1+legsGeo+shoesGeo+lanternGeo+shovelGeo",,,"mortis_base_cam.scw","emz_intro_pose.scw",,"UndertakerIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerPushback","UndertakerWin","UndertakerWinloop","UndertakerLose","UndertakerLoseloop","UndertakerIdle","UndertakerWin","UndertakerWinloop","UndertakerWin","UndertakerIdle","UndertakerIdle","UndertakerProfile","UndertakerProfile",,,,,,"MortisWinloop","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisFace","MortisWin","MortisWinloop","MortisFace","MortisFace","MortisWinloop",,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BullGuyFootbull","BullDude","bull_footbull_geo.scw",,,"bull_base_cam.scw","emz_intro_pose.scw",,"BullRockIdle","BullRockWalk","BullRockPrimary","BullRockSecondary","BullRockRecoil",,"BullRockRecoil",,"BullRockReload","BullRockPushback","BullFootbullWin","BullFootbullWinloop","BullFootbullLose","BullFootbullLoseloop","BullRockIdle","BullFootbullWin","BullFootbullWinloop","BullFootbullWin","BullRockIdle","BullRockIdle","BullRockProfile","BullRockProfile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShamanBearReindeer","ShamanPet","bear_reindeer_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"BearReindeerIdle","BearReindeerWalk","BearReindeerAttack","BearReindeerIdle","BearReindeerRecoil",,"BearReindeerIdle",,"BearReindeerIdle","BearReindeerPushback","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearReindeerIdle","BearShibaIdle","BearShibaIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ArtilleryTurretElf","ArtilleryDudeTurret","penny_elf_turret_geo.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,"ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryAttack",,"ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtillerySpawn","ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtillerySpawn","ArtilleryIdle",,"ArtilleryIdle","ArtilleryIdle","ArtilleryIdle","ArtilleryIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"penny_002_ulti_spawn",,,,,,,,,,,,,,,,,,,,,,,,,
"HookDefault","HookDude","gene_geo.scw",,,"gene_base_cam.scw","emz_intro_pose.scw",,"GeneIdle","GeneWalk","GeneAttack","GeneSecondary","GeneAttackRecoil",,"GeneSecondaryRecoil",,"GeneReload","GenePushback","GeneWin","GeneWinloop","GeneLose","GeneLoseloop","GeneIdle","GeneWin","GeneWinloop","GeneWin","GeneIdle","GeneIdle","GeneProfile","GeneProfile",,,,,,,,,,,,,,,,,,,,,"true","true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TrickshotPopcorn","TrickshotDude","rico_popcorn_geo.scw",,,"rico_base_cam.scw","emz_intro_pose.scw",,"RicoPopcornIdle","RicoWalk","RicoPopcornPrimary","RicoPopcornSecondary","RicoPopcornRecoil",,"RicoPopcornRecoil",,"RicoPopcornReload","RicoPopcornPushback","RicoPopcornWin","RicoPopcornWinloop","RicoLose","RicoLoseloop","RicoPopcornIdle","RicoPopcornWin","RicoPopcornWinloop","RicoPopcornWin","RicoPopcornIdle","RicoPopcornIdle","RicoProfile","RicoProfile",,,,,,,,,,,,,,,,,,,,,,,"Rico002Projectile",,"Rico002UltiProjectile","rico_002_atk","rico_002_ulti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GunSlingerHanbok","Gunslinger","colt_hanbok_geo.scw",,,"colt_base_cam.scw","emz_intro_pose.scw",,"GunslingerIdle","GunslingerWalk","GunslingerPrimary","GunslingerSecondary","GunslingerRecoil","GunslingerRecoil2","GunslingerRecoil","GunslingerRecoil2","GunslingerReload","GunslingerPushback","GunslingerWin","GunslingerWinloop","GunslingerLose","GunslingerLoseloop","GunslingerIdle","GunslingerWin","GunslingerWinloop","GunslingerWin","GunslingerIdle","GunslingerIdle","GunslingerProfile","GunslingerProfile",,,,,,"ColtFace","ColtFace","ColtHappy","ColtFace","ColtSad","ColtSadLoop","ColtFace","ColtHappy","ColtFace","ColtFace","ColtStill","ColtStill",,,,,,"Colt002Projectile",,"Colt002UltiProjectile","colt_002_atk","colt_002_ulti",,,"colt_002_ulti_use",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BarrelbotCny","BarrelBot","darryl_cny_geo.scw",,,"darryl_base_cam.scw","emz_intro_pose.scw",,"DarrylCnyIdle","DarrylCnyWalk","DarrylCnyPrimary","DarrylCnySecondary","DarrylCnyRecoil","DarrylCnyRecoil2","DarrylCnyRecoil",,"DarrylCnyReload","DarrylCnyPushback","DarrylCnyWin","DarrylCnyWinloop","DarrylCnyLose","DarrylCnyLoseloop","DarrylCnyIdle","DarrylCnyWin","DarrylCnyWinloop","DarrylCnyWinloop","DarrylCnyHide","DarrylCnyHide","DarrylCnyProfile","DarrylCnyProfile",,,,,,,,,,,,,,,,,,,,,,,"Darryl002Projectile",,,"darryl_002_atk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PocoValentine","DeadMariachi","poco_valentine_geo.scw",,,"poco_base_cam.scw","emz_intro_pose.scw",,"PocoIdle","PocoWalk","PocoAttack","PocoSecondary","PocoRecoil",,"PocoRecoil",,"PocoReload","PocoPushback","PocoWin","PocoWinloop","PocoLose","PocoLoseloop","PocoIdle","PocoWin","PocoWinloop","PocoWin","PocoIdle","PocoIdle","PocoProfile","PocoProfile",,,,,,,,,,,,,,,,,,,,,,,"Poco002Projectile",,"Poco002UltiProjectile","poco_002_atk_direct","poco_002_atk_direct",,"poco_002_atk_root","poco_002_atk_root",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RocketGirlCny","RocketGirl","brock_cny_geo.scw",,,"brock_base_cam.scw","emz_intro_pose.scw",,"BrockIdle","BrockWalk","BrockPrimary","BrockSecondary","BrockRecoil",,"BrockRecoil2",,"BrockIdle","BrockPushback","BrockBoomboxWinIntro","BrockBoomboxWin","BrockLose","BrockLoseloop","BrockIdle","BrockBoomboxWinIntro","BrockBoomboxWin","BrockBoomboxWin","BrockIdle","BrockIdle","BrockProfile","BrockProfile",,,,,,,,,,,,,,,,,,,,,,,"Brock002Projectile",,"Brock002UltiProjectile","brock_002_atk","brock_002_atk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WhirlwindDefault","Whirlwind","carl_geo.scw",,,"carl_base_cam.scw","emz_intro_pose.scw",,"CarlIdle","CarlWalk","CarlAttack","CarlSecondary","CarlAttackRecoil",,"CarlSecondaryRecoil",,"CarlReload","CarlIdle","CarlWin","CarlWinloop","CarlLose","CarlLoseloop","CarlIdle","CarlWin","CarlWinloop","CarlWin","CarlIdle","CarlIdle","CarlProfile","CarlProfile",,,,,,"CarlIdle","CarlIdle","CarlIdle","CarlIdle","CarlAngry","CarlAngryloop","CarlIdle","CarlIdle","CarlIdle","CarlIdle","CarlProfile","CarlIdle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"RoboWarsBox",,"item_bolt_crate.scw",,,"portrait_cam.scw","emz_intro_pose.scw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"UndertakerNightwitch","Undertaker","mortis_nightwitch_geo.scw",,,"mortis_base_cam.scw","emz_intro_pose.scw",,"UndertakerIdle","UndertakerWalk","UndertakerAttack","UndertakerUltiAttack","UndertakerRecoil1",,"UndertakerUltiRecoil1",,,"UndertakerPushback","UndertakerNightwitchWin","UndertakerNightwitchWinloop","UndertakerLose","UndertakerLoseloop","UndertakerIdle","UndertakerNightwitchWin","UndertakerNightwitchWinloop","UndertakerNightwitchWin","UndertakerIdle","UndertakerIdle","UndertakerProfile","UndertakerProfile",,,,,,"MortisNightwitchFace","MortisNightwitchFace","MortisNightwitchWin","MortisNightwitchWinloop","MortisNightwitchFace","MortisNightwitchFace","MortisNightwitchFace","MortisNightwitchWin","MortisNightwitchWinloop","MortisNightwitchFace","MortisNightwitchFace","MortisNightwitchFace",,,,"true","true",,,,,"mortis_002_ulti_direct",,"mortis_002_atk","mortis_002_ulti",,"mortis_002_atk_hit",,,,,,,,,,,,,,,,,,,,,,,,,,
